data_size,threads,implementation,schedule,mean_time,std_time,min_time,max_time,sequential_time,speedup_vs_sequential,efficiency,simd_speedup,simd_advantage_percent,simd_significant
5000000,2,parallel,dynamic,0.1155200006,0.007159046914279916,0.107599974,0.12420001,0.008519992600000002,0.07375339816263818,0.03687669908131909,1.0979385206987238,-1255.8697292765253,0
5000000,2,parallel,guided,0.008720006999999998,0.0008555601675615813,0.007999992,0.00999999,0.008519992600000002,0.9770625872204005,0.48853129361020026,1.0979385206987238,-2.347588893445714,0
5000000,2,parallel,static,0.008439998600000002,0.0005727013539649622,0.007800007,0.009199953,0.008519992600000002,1.0094779636574822,0.5047389818287411,1.0979385206987238,0.9388975290894018,0
5000000,4,parallel,dynamic,0.131119995,0.005687878462170363,0.126200008,0.140199995,0.008519992600000002,0.0649785915565357,0.016244647889133924,1.0979385206987238,-1438.9684141274956,0
5000000,4,parallel,guided,0.0096400164,0.0006985774546153057,0.009000015,0.010800028,0.008519992600000002,0.8838151561650872,0.2209537890412718,1.0979385206987238,-13.145830666566516,0
5000000,4,parallel,static,0.009960012399999999,0.0008876923679647129,0.009000015,0.010800028,0.008519992600000002,0.8554198787945286,0.21385496969863216,1.0979385206987238,-16.901655524912044,0
5000000,8,parallel,dynamic,0.3169999886,0.010576391213465874,0.300399971,0.328599977,0.008519992600000002,0.02687694923153698,0.0033596186539421227,1.0979385206987238,-3620.660374751968,0
5000000,8,parallel,guided,0.009639987800000001,0.0002607729283096693,0.009399986,0.00999999,0.008519992600000002,0.8838177782756116,0.11047722228445145,1.0979385206987238,-13.145494985523806,0
5000000,8,parallel,static,0.0096800038,0.000228033199869449,0.009399986,0.00999999,0.008519992600000002,0.8801641792743926,0.11002052240929908,1.0979385206987238,-13.615166754957016,0
10000000,1,parallel,dynamic,0.1412400152,0.0025353658671474163,0.138199997,0.143600035,0.0194399932,0.1376379999143472,0.1376379999143472,0.9346146622784121,-626.5435422065889,0
10000000,1,parallel,guided,0.015559988200000003,0.0005549601971729149,0.01500001,0.01619997,0.0194399932,1.2493578369166112,1.2493578369166112,0.9346146622784121,19.95888043829149,0
10000000,1,parallel,static,0.0166399956,0.002558908603363315,0.014799976,0.021000004,0.0194399932,1.168269131032703,1.168269131032703,0.9346146622784121,14.403284873577013,0
10000000,1,sequential,none,0.0194399932,0.002878891710401539,0.015999985,0.022399998,0.0194399932,1.0,1.0,0.9346146622784121,0.0,0
