data_size,run,threads,implementation,schedule,time_seconds,checksum
1000000,4,4,parallel,guided,0.000512887,334333832333.50012
1000000,5,4,parallel,static,0.000469884,334333832333.50012
1000000,5,4,parallel,dynamic,0.045283651,334333832333.50012
1000000,5,4,parallel,guided,0.000529294,334333832333.50012
1000000,6,4,parallel,static,0.000528289,334333832333.50012
1000000,6,4,parallel,dynamic,0.046821637,334333832333.50012
1000000,6,4,parallel,guided,0.000474544,334333832333.50012
1000000,7,4,parallel,static,0.000401549,334333832333.50012
1000000,7,4,parallel,dynamic,0.037522656,334333832333.50012
1000000,7,4,parallel,guided,0.000468386,334333832333.50012
1000000,1,8,parallel,static,0.000813388,334333832333.50012
1000000,1,8,parallel,dynamic,0.032967442,334333832333.50012
1000000,1,8,parallel,guided,0.003691966,334333832333.50012
1000000,2,8,parallel,static,0.001353797,334333832333.50012
1000000,2,8,parallel,dynamic,0.034499832,334333832333.50012
1000000,2,8,parallel,guided,0.000402264,334333832333.50012
1000000,3,8,parallel,static,0.000268596,334333832333.50012
1000000,3,8,parallel,dynamic,0.031938634,334333832333.50012
1000000,3,8,parallel,guided,0.000299908,334333832333.50012
1000000,4,8,parallel,static,0.000259376,334333832333.50012
1000000,4,8,parallel,dynamic,0.031831364,334333832333.50012
1000000,4,8,parallel,guided,0.000363019,334333832333.50012
1000000,5,8,parallel,static,0.000608024,334333832333.50012
1000000,5,8,parallel,dynamic,0.033798446,334333832333.50012
1000000,5,8,parallel,guided,0.000386151,334333832333.50012
1000000,6,8,parallel,static,0.000316705,334333832333.50012
1000000,6,8,parallel,dynamic,0.041549469,334333832333.50012
1000000,6,8,parallel,guided,0.000304865,334333832333.50012
1000000,7,8,parallel,static,0.000323102,334333832333.50012
1000000,7,8,parallel,dynamic,0.053032200,334333832333.50012
1000000,7,8,parallel,guided,0.000341296,334333832333.50012
10000000,1,1,sequential,none,0.061658710,333433293323337.69
10000000,1,1,simd,none,0.010197030,333433293323337.69
10000000,2,1,sequential,none,0.011200645,333433293323337.69
10000000,2,1,simd,none,0.014135524,333433293323337.69
10000000,3,1,sequential,none,0.014165159,333433293323337.69
